📺港台频道,#genre#
CCTV6,http://58.19.13.92:9901/tsfile/live/1005_1.m3u8
CCTV6,http://58.220.219.14:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://61.182.33.218:8000/hls/6/index.m3u8
CCTV6,http://183.134.3.22:8888/newlive/live/hls/7/live.m3u8
CCTV6,http://58.19.38.233:8888/newlive/live/hls/8/live.m3u8
CCTV6,http://111.59.63.32:9901/tsfile/live/1013_1.m3u8
CCTV6,http://opdf.top:8088/udp/239.81.0.233:4056

CCTV7,rtsp://115.153.245.70/PLTV/88888888/224/3221226827/59814693.smil
CCTV7,rtsp://115.153.233.154/PLTV/88888888/224/3221226827/59814693.smil
CCTV7,rtsp://115.153.212.72/PLTV/88888888/224/3221226827/59814693.smil
CCTV7,http://171.14.89.201:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://183.134.3.22:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://58.220.219.14:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://61.182.33.218:8000/hls/7/index.m3u8
CCTV7,http://58.19.13.92:9901/tsfile/live/1006_1.m3u8
CCTV7,http://221.2.146.228:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://58.19.38.233:8888/newlive/live/hls/9/live.m3u8
CCTV7,http://opdf.top:8088/udp/239.81.0.116:4056

CCTV8,rtsp://115.153.245.70/PLTV/88888888/224/3221226911/65406606.smil
CCTV8,rtsp://115.153.233.154/PLTV/88888888/224/3221226911/65406606.smil
CCTV8,rtsp://115.153.212.72/PLTV/88888888/224/3221226854/63329578.smil
CCTV8,http://171.14.89.201:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://58.19.13.92:9901/tsfile/live/1007_1.m3u8
CCTV8,http://58.19.38.233:8888/newlive/live/hls/10/live.m3u8
CCTV8,http://opdf.top:8088/udp/239.81.0.234:4056

CCTV9,rtsp://115.153.245.70/PLTV/88888888/224/3221226840/59814699.smil
CCTV9,rtsp://115.153.233.154/PLTV/88888888/224/3221226840/59814699.smil
CCTV9,rtsp://115.153.212.72/PLTV/88888888/224/3221226840/59814699.smil
CCTV9,http://171.14.89.201:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://111.59.63.32:9901/tsfile/live/1016_1.m3u8
CCTV9,http://58.19.13.92:9901/tsfile/live/1008_1.m3u8
CCTV9,http://opdf.top:8088/udp/239.81.0.117:4056

CCTV10,rtsp://115.153.245.70/PLTV/88888888/224/3221226630/51813372.smil
CCTV10,rtsp://115.153.233.154/PLTV/88888888/224/3221226630/51813372.smil
CCTV10,rtsp://115.153.212.72/PLTV/88888888/224/3221226630/51813372.smil
CCTV10,http://171.14.89.201:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://opdf.top:8088/udp/239.81.0.118:4056

CCTV11,rtsp://115.153.245.70/PLTV/88888888/224/3221226986/85722616.smil
CCTV11,rtsp://115.153.233.154/PLTV/88888888/224/3221226986/85722616.smil
CCTV11,rtsp://115.153.212.72/PLTV/88888888/224/3221226986/85722616.smil
CCTV11,http://171.14.89.201:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.2.146.228:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://opdf.top:8088/udp/239.81.0.229:4056

CCTV12,rtsp://115.153.245.70/PLTV/88888888/224/3221226829/59814709.smil
CCTV12,rtsp://115.153.233.154/PLTV/88888888/224/3221226829/59814709.smil
